project,median monthly loc added or changed,median monthly contributors,median monthly commits,median monthly loc growth,median monthly % log growth,median yearly % loc growth
konqueror,2163,16.5,83.5,339,1.00326116,1.086723026
konsole,224,4,16,79,1.002799972,1.059889576
kontact,193,5,18.5,22,1.001590548,1.017866883
konversation,387,5,29.5,69,1.002288574,1.092795059
kopete,320,7,19,98,1.000083973,1.005038672
kpdf,0,0,0,0,1,1.001655431
krdc,44,2,6,4,1.000300415,1.029651773
krusader,152,2,11,22,1.001842381,1.056996602
ktorrent,2093,3,33,726,1.00907331,1.164513716
kubuntu,225,5,26.5,5,1.000987942,1.155417567
KumbiaPHP_framework,852,2,72.5,6,1,1
kvm,3265339,751.5,5428,43715,1.004861257,1.122601054
l2j,4493,5,61.5,1211,1.006025546,1.075638962
l2jdp,21023,5,113.5,5331,1.00702081,1.276853076
l2jfree,14079,4,112,2348,1.002992989,1.058834748
lame,157,1,5,6,1.000138308,1.013472663
lastfm,0,0,0,0,1,1
latex,502,2,9,183,1,1.067759059
latex-beamer,0,0,0,0,1,1.011024035
launchpad,746186,31.5,2162.5,5730,1.01717959,1.250342703
launchy,0,0,0,0,1,1.188827791
layman,1,1,1,0,1,1.02459039
lazarus,21080,12,356.5,8189,1.009427046,1.146262168
lftp,47,1,5,18,1.000271787,1.024369445
libgd,0,0,0,0,1,1
libgdx,57180,5,271.5,14242,1.028394856,3.416437919
libglade,0,0,0,0,1,1
libjpeg,0,0,0,0,1,1
libogg,1,1,1,0,1,1.008082366
libpng,3095,1,216.5,40,1,1
libreoffice,170169,62.5,1760,716,1.00143564,1.125385009
librsvg,4,1,2,0,1.000242342,1.015800698
libssh2,127,2,8,42,1.00110777,1.051741413
libtheora,132,2,6,1,1.000253441,1.087917294
libtool,24,2,5.5,7,1.000931328,1.026586064
libvirt,10963,22,212,4935,1.023966005,1.515735422
libvorbis,27,1,4,1,1.000013825,1.019503961
libxml2,57,2,5.5,18,1.000372147,1.014184614
libxslt,2,1,1,0,1.000031533,1.005327245
liferay,215213,41,1426.5,59968,1.02790327,1.301659931
liferea,463,2.5,25.5,22,1.001039912,1.000380744
liftweb,6700,7,97.5,1396,1.021793845,1.873949913
