projectName,year,month,sum_loc_added,sum_loc_deleted,sum_commits,median_contributors,max_loc_total,sum_abs_loc_growth,prod_loc_growth_factor,age
fltk,2013,12,1385,545,70,3,1031887,840,1.000814705828197929081051136355970524835,15
putty,2007,12,3637,1175,144,2.,87509,2462,1.02894869895166276922108118309595305165234304470376194501120384647915422194028497824333458981444459382810632442313603366893116576287882956964228020160000,8
ampache,2006,12,36405,26352,1111,3.,62041,10053,1.1933715472786349998589998256838036426607768424479739977064082756825549011375549838603671598991834112270368836750032668196779449884160000000,1
koha,2000,12,35777,5225,471,1.,36040,30552,6.56705539260610663597606631702128491928440775122711812837274432964017754644716917636687246741562570352940411212779609436591840000,1
python-babel,2010,12,66,44,15,0.,6592,22,1.00334855403309852152598960000000000,3
poppler,2007,12,29037,11042,359,3.,113786,17871,1.18632122191417960226717600041774715856440400828237019516971545407986598933520114956764659507354068097497729362780872778967894082031575040000,2
guile,2013,12,6934,2496,144,4,197671,2803,1.014384095905003782441897788187369444,17
openwebmail,2007,12,1424,5070,36,0.,144571,-3646,0.97476938833273234706613446604326707455061770013720800000000,6
pacman,2010,12,44132,27235,414,5.5,44364,8853,1.249303032868303161106194323226075737832740007819890348896843642149867853237245782537247750666316502574706386505226408576752680960000,5
shrinkwrap,2009,12,13708,9777,147,2.,8176,3931,1.9260306244478197432104235454722943589120,0
openwebmail,2006,12,92958,82016,20,0.,144507,10942,1.08192265937839193097910182018118762439483827200311809414387500000000,5
mrtg,2011,12,301,220,41,1.,35959,81,1.0022576509285220326702227552142901980300132362262163915678317520509538650754584504647348071331874882381209600000,5
konversation,2005,12,76251,81570,949,7.,40938,-5319,0.863898057909156847219552528602586772844085400982935204698416465765783445475106146270100121406678948131581290200159323300358850209516800000,3
jgroups,2008,12,79108,80190,2508,4.,95215,-541,0.9943344259562113615104440009393740297693266059621976710746026590609040765258897297677215797024792292907561754487334165683711509519837256890201984,5
json-lib,2009,12,899,413,23,0.,34174,486,1.014426502023161312970620000000000,3
joomla,2009,12,862736,879241,6360,13.,1003607,-16505,0.983128362436575611898311538185283355310163261416109439121695614909630346767514620801884058722889848496927681108252077832960215288487705600000,4
jekyll,2010,12,4576,1968,143,3.,3244,1310,1.67735263709676840011066834744422487009129729551843160858580435163521203891750967353715846452958138624000,2
okular,2007,12,30510,25275,1045,8.5,59092,5253,1.106351102390341079260807476748438862022179446895469623896854378599164396775424807346341576138095203854208119384268939983460613469222142341120,5
