projectName,age,status,yearOfEvent
acceleo-eclipse,3,1,2012
hurd,21,1,2012
RSSOwl,5,2,2012
xbmc,9,1,2012
kamailio,6,1,2011
tt-rss,7,1,2012
firebreath,3,1,2012
xetex,7,1,2012
ntp-pool,7,1,2012
moodle_lang,6,1,2012
equinox,11,1,2012
opengpstracker,3,1,2012
Centreon,5,1,2012
simplejson,6,1,2012
perian,6,1,2012
passenger,4,1,2012
cocos2d-iphone,4,1,2012
tesseract-ocr,5,1,2012
rap,6,1,2012
indefero,4,1,2012
phpmyadmin,11,1,2012
commons-configuration,8,2,2012
sparse,9,1,2012
TrinityCore2,4,1,2012
krdc,7,1,2012
commons-dbcp,5,1,2012
kdesvn,7,1,2012
vegastrike,11,1,2012
erp5,9,1,2012
thegrinder,11,1,2012
resourcespace,4,1,2012
sesame,4,1,2012
jenkins,8,1,2012
eventlist,4,2,2011
snort,12,2,2012
octave,19,1,2012
gthumb,10,1,2012
ixthemes,3,2,2012
log4perl,8,2,2010
ffmpeg,11,1,2012
gedit-plugins,9,1,2012
markdownj,7,1,2012
koha,13,1,2012
kalzium,10,1,2012
PackageKit,5,1,2012
GnomeVFS,11,2,2010
tmux,5,1,2012
WordPressMU,6,2,2011
dwarftherapist,3,1,2012
unknown-horizons,5,1,2012
jcal,5,2,2012
openvpn,10,1,2012
cruisecontrol,9,1,2012
openmeetings,5,1,2012
greasemonkey,8,1,2012
rdesktop,12,1,2012
subclipse,9,1,2012
opensuse-linux,12,1,2012
ioquake3,7,1,2012
hsqldb,10,1,2012
flask,2,1,2012
sane,18,1,2012
collectd,6,1,2012
cfeclipse,6,2,2012
dmd,4,1,2012
scim,10,1,2012
orientdb,2,1,2012
mod_perl,12,1,2012
zf2,3,1,2012
inspircd,9,1,2012
simple-build-tool,2,2,2010
postgrey,8,2,2012
hugs,9,2,2008
spidermonkey,14,2,2012
ubuntu-unity,3,1,2012
ettercap,11,1,2012
pinax,1,1,2012
osg,11,1,2012
quartz,8,1,2012
roma,6,1,2012
CaliburnMicro,2,1,2012
py-pandas,3,1,2012
Apache-OFBiz,6,1,2012
beagle,8,2,2012
meld,10,1,2012
silverstripe,5,1,2012
m0d,2,2,2012
curl,12,1,2012
libssh2,7,1,2012
vanillaforums,6,1,2012
asdf,9,2,2010
matplotlib,9,1,2012
icedtea,5,1,2012
opencms,12,1,2012
fail2ban,8,1,2012
dragonplayer,5,1,2012
config,20,1,2012
gwenview,5,1,2012
freshmeat_batik,7,1,2012
Spark,6,1,2012
egroupware,12,1,2012
aquamacs,27,1,2012
django-rosetta,4,2,2012
elasticsearch,2,1,2012
mambo,1,2,2007
gnuplot,14,1,2012
mingw,2,1,2012
red5,6,1,2012
psi-plus,4,1,2012
nasm,10,1,2012
syslinux,14,1,2012
empathy,5,1,2012
boo,8,1,2012
dillo,5,1,2012
orchard,3,1,2012
wicketpixie,3,2,2012
mootools-more,4,1,2012
salt,1,1,2012
gtksourceview,10,1,2012
ubiquity-xforms,3,2,2011
quickeasyphp,2,2,2012
libgd,5,2,2011
YoctoProject,7,1,2012
pdepend,4,1,2012
gnote,3,1,2012
anope,8,1,2012
tiled-qt,4,1,2012
